lag_2,lag_1,target
2.808031634534321e-05,4.236208769725636e-05,4.2729986186410926e-05
4.236208769725636e-05,4.2729986186410926e-05,4.309788467556549e-05
4.2729986186410926e-05,4.309788467556549e-05,4.346578316472005e-05
4.309788467556549e-05,4.346578316472005e-05,3.810479392996058e-05
4.346578316472005e-05,3.810479392996058e-05,2.228925768577028e-05
3.810479392996058e-05,2.228925768577028e-05,2.653971553930508e-05
2.228925768577028e-05,2.653971553930508e-05,3.309470472837953e-05
2.653971553930508e-05,3.309470472837953e-05,2.744183014632048e-05
3.309470472837953e-05,2.744183014632048e-05,4.050422406483752e-05
2.744183014632048e-05,4.050422406483752e-05,1.022670244310575e-05
4.050422406483752e-05,1.022670244310575e-05,1.2535110727185383e-05
1.022670244310575e-05,1.2535110727185383e-05,1.606681803423271e-05
1.2535110727185383e-05,1.606681803423271e-05,1.959852534128004e-05
1.606681803423271e-05,1.959852534128004e-05,2.989640476395532e-05
1.959852534128004e-05,2.989640476395532e-05,3.744388232007623e-05
2.989640476395532e-05,3.744388232007623e-05,2.972271189112992e-05
3.744388232007623e-05,2.972271189112992e-05,1.950992297376312e-05
2.972271189112992e-05,1.950992297376312e-05,1.9003823278277803e-05
1.950992297376312e-05,1.9003823278277803e-05,2.500921436876524e-05
1.9003823278277803e-05,2.500921436876524e-05,2.928628115720737e-05
2.500921436876524e-05,2.928628115720737e-05,2.928628115720737e-05
